"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STATUS"
"ENSG00000017483.14",1100.06608197753,7.72271828734627,0.451435713323338,17.1070167012129,1.3156784060835e-65,2.07535111775612e-61,"Up"
"ENSG00000160293.16",4640.47155248698,-0.952462433974644,0.0607910246514884,-15.6678134549477,2.51069109953703e-55,1.98018207020485e-51,"Not Sig"
"ENSG00000221978.11",1550.14430110533,1.58867836240561,0.114616565102401,13.8608093951014,1.09433266686756e-43,5.75400116238964e-40,"Up"
"ENSG00000137745.11",97.321334741904,-3.74635895555017,0.276786236317898,-13.5352068274354,9.69093113201388e-42,3.82161869190967e-38,"Down"
"ENSG00000141569.10",471.158482546823,1.22746810329326,0.0944531561362497,12.9955223679622,1.29719010210855e-38,4.09237533413206e-35,"Up"
"ENSG00000140557.11",1099.53425902143,-3.09322073411324,0.248620440761311,-12.4415382928345,1.55480399609883e-35,4.08757970574382e-32,"Down"
"ENSG00000100092.20",92.4896605360275,3.67682569654917,0.305428398405223,12.0382574631158,2.23629491294771e-33,5.03933085097674e-30,"Up"
"ENSG00000111859.16",1610.5219109156,-1.71311853569017,0.144758269678275,-11.8343396857227,2.59376693364977e-32,5.11425995142394e-29,"Down"
"ENSG00000198910.12",25623.1915402923,0.855942060352301,0.0725993296716899,11.7899444006309,4.39831299257669e-32,7.70877657165608e-29,"Not Sig"
"ENSG00000120279.6",87.9093194313154,-2.99505212857023,0.254999517936946,-11.7453246688522,7.46353084485276e-32,1.17729735546708e-28,"Down"
"ENSG00000131584.18",553.98805881503,1.58198687885097,0.134927621969503,11.7247073338959,9.52295912583781e-32,1.36559233864514e-28,"Up"
"ENSG00000177096.8",440.016723138461,7.81534054397968,0.667625507840104,11.7061742731547,1.18507160239536e-31,1.55777662134871e-28,"Up"
"ENSG00000196358.10",189.487867014886,-3.05628342582857,0.264442272122532,-11.5574692400631,6.76739192547554e-31,8.21144924865009e-28,"Down"
"ENSG00000114948.12",815.800087993725,-3.60714879636717,0.319903854439365,-11.2757278360673,1.72942423420831e-29,1.94856699074299e-26,"Down"
"ENSG00000178498.15",308.763117516318,2.21054769777092,0.196360353210491,11.2576070557446,2.12449324912502e-29,2.23411710077987e-26,"Up"
"ENSG00000120899.17",496.476634914742,3.40569646508033,0.30535203394564,11.1533446202183,6.8964413688235e-29,6.79902913448887e-26,"Up"
"ENSG00000198963.10",62.5628188791701,-5.77430647021322,0.531642513420373,-10.8612579401592,1.76303649077525e-27,1.6358904473817e-24,"Down"
"ENSG00000160075.11",1561.27529684606,1.14116872328291,0.105552369788297,10.8113984136189,3.04000062892136e-27,2.66405388447809e-24,"Up"
"ENSG00000153707.15",320.767822919538,2.97524891195599,0.278835580442505,10.6702627664459,1.40229260222136e-26,1.16419807933893e-23,"Up"
"ENSG00000169760.17",121.865870557037,-2.0636932409944,0.194664766866493,-10.6012673696095,2.93969108502893e-26,2.31853435876231e-23,"Down"
"ENSG00000242485.5",794.761270509353,1.15231248087307,0.109756310754166,10.498826654752,8.74604664480747e-26,6.56953046548538e-23,"Up"
"ENSG00000007923.15",1552.32577059724,0.943087251811447,0.0911860551028182,10.3424503971364,4.52808603419557e-25,3.24663768651822e-22,"Not Sig"
"ENSG00000078369.17",13002.4804826967,1.01033745833529,0.0981234897161733,10.2965911756475,7.30025058980189e-25,5.00670229580587e-22,"Up"
"ENSG00000119514.6",205.860947866761,-2.06595905372458,0.202111206727388,-10.2218926262272,1.5822106111261e-24,9.98311607196125e-22,"Down"
"ENSG00000144057.15",141.45284947454,10.5899607753603,1.03569984550439,10.224932272924,1.53335100695888e-24,9.98311607196125e-22,"Up"
"ENSG00000158109.14",784.865049532129,1.54746759797544,0.151849024229265,10.1908300420755,2.17895759004666e-24,1.32195680866907e-21,"Up"
"ENSG00000078808.16",3081.80753966317,0.887732101823304,0.0881425755182523,10.0715471110721,7.38078082614463e-24,4.31201617598539e-21,"Not Sig"
"ENSG00000123700.4",73.9654842254186,-3.21848381912059,0.322770836435161,-9.97142075990228,2.03299581847501e-23,1.1453027157366e-20,"Down"
"ENSG00000196814.14",476.222978876699,-1.76754054126964,0.179383581592519,-9.85341314727852,6.62549740533516e-23,3.60381365764679e-20,"Down"
"ENSG00000003137.8",186.089229825548,-2.82735209619613,0.287997155251142,-9.81729174974176,9.48576691697485e-23,4.98761624494537e-20,"Down"
"ENSG00000196581.10",1773.16916477787,4.82873225613329,0.492970790039823,9.79516911284586,1.18099625344085e-22,6.00936609734707e-20,"Up"
"ENSG00000116198.12",929.432656710567,1.05711620119785,0.108150675282451,9.77447619663065,1.44904924194368e-22,7.14290710700611e-20,"Up"
"ENSG00000130723.17",11945.3154525659,-0.812124219000793,0.083215848496742,-9.75924939385301,1.68396927830453e-22,8.04937315029567e-20,"Not Sig"
"ENSG00000157916.18",1836.60206955653,1.40330583006122,0.144274023700232,9.7266700828762,2.32065498584965e-22,1.07664740431742e-19,"Up"
"ENSG00000164619.8",2260.12874742462,3.2839914050851,0.340057404077905,9.65716777727552,4.58360691975033e-22,2.06576615863262e-19,"Up"
"ENSG00000105993.14",3899.58258925511,0.681577462619695,0.0710713959384468,9.59003905326402,8.80516781175276e-22,3.85813102951633e-19,"Not Sig"
"ENSG00000131067.16",175.249229943568,2.10149081318793,0.220592527997099,9.5265729635936,1.62561131671909e-21,6.93037646214243e-19,"Up"
"ENSG00000173890.16",295.246999425249,-1.89412276617232,0.1989439570966,-9.52088615213684,1.71708523063772e-21,7.12771116528407e-19,"Down"
"ENSG00000005882.11",327.238103913984,1.59309131472876,0.1674636243921,9.51305885389588,1.85136948237246e-21,7.48807749101106e-19,"Up"
"ENSG00000187957.7",802.86373542982,-1.18128428864478,0.12426914141628,-9.5058537878497,1.98413621114239e-21,7.82444114864002e-19,"Down"
"ENSG00000197724.10",1987.43793994338,-0.861493752903334,0.0906873745039686,-9.49959966991473,2.10698737955199e-21,8.10624851830564e-19,"Not Sig"
"ENSG00000186350.9",1008.67035069787,-1.06362531914302,0.112387212715465,-9.46393538414238,2.96566592193681e-21,1.11381938696741e-18,"Down"
"ENSG00000106066.13",92.7642749340301,-5.08439273929617,0.537932177136697,-9.45173565626685,3.33258133359492e-21,1.22251483618898e-18,"Down"
"ENSG00000171316.11",286.929287607441,1.93042372220045,0.206225658147066,9.36073493252623,7.91839639566857e-21,2.83874510784718e-18,"Up"
"ENSG00000008130.15",983.798867792761,1.10340470833134,0.118270162819436,9.32952726222178,1.06344157054175e-20,3.72771718527236e-18,"Up"
"ENSG00000087258.13",420.179898103533,2.23847436513445,0.245762493457614,9.10828309739833,8.36959271316559e-20,2.87004250994509e-17,"Up"
"ENSG00000169085.11",649.910159014991,-4.44939342426874,0.490694091164035,-9.06755044413473,1.21722620882851e-19,4.08521834426827e-17,"Down"
"ENSG00000119383.19",5771.1025820586,-0.808049711515149,0.0894594365521156,-9.03258216973467,1.67667839034572e-19,5.50998436027362e-17,"Not Sig"
"ENSG00000130764.9",755.422957977379,1.01495877396169,0.112984571989623,8.98316253350858,2.63093466942941e-19,8.46946193379175e-17,"Up"
"ENSG00000106714.17",178.040457955513,-1.8902046965633,0.212339180632354,-8.90181779422056,5.49394035366245e-19,1.73322830277343e-16,"Down"
"ENSG00000162144.9",1521.91052721967,-0.914016349124396,0.103346440638719,-8.84419766636795,9.2188296033958e-19,2.79649650315318e-16,"Not Sig"
"ENSG00000214021.15",494.046063180926,1.1367932850565,0.128504632160999,8.84632145892028,9.04514604820214e-19,2.79649650315318e-16,"Up"
"ENSG00000008128.22",424.029005844171,1.17464297642269,0.133187922974733,8.8194406083315,1.15032943218623e-18,3.42364084213314e-16,"Up"
"ENSG00000157227.12",33453.7454691247,-1.02418879835352,0.116420378073412,-8.79733269469105,1.40106463932259e-18,4.09266548531009e-16,"Down"
"ENSG00000134824.13",4838.61764075071,0.861559149858262,0.0984226094791255,8.75367107636981,2.06522438326746e-18,5.92306353121107e-16,"Not Sig"
"ENSG00000171735.18",420.113823503209,1.46527674273499,0.167523060957363,8.74671662731811,2.19650379672688e-18,6.18708051599462e-16,"Up"
"ENSG00000106853.16",1917.11748396419,-0.719332849891762,0.0822723711772675,-8.74331005170444,2.26378327286769e-18,6.26472234144122e-16,"Not Sig"
"ENSG00000107263.18",3249.96446511362,-0.921053345635498,0.105777070995459,-8.70749527253443,3.10663174287944e-18,8.44896708830696e-16,"Not Sig"
"ENSG00000103066.12",703.478473951956,-0.814266043626959,0.0955186978901178,-8.52467696496102,1.53236866102565e-17,4.09687851847773e-15,"Not Sig"
